#{"t_start": 1748564082.154198, "env_id": "None"}
r,l,t
-111.904029,114,0.024799
-110.06796,112,0.040972
-109.092033,111,0.056914
-111.80672,114,0.073524
-109.728332,112,0.090526
-110.983692,113,0.10686
-111.848847,114,0.123441
-111.89491,114,0.140913
-112.802371,115,0.158295
-111.926794,114,0.175628
-111.8355,114,0.193611
-111.929729,114,0.211975
-109.800221,112,0.228816
-111.921064,114,0.245804
-110.078769,112,0.261826
-112.797293,115,0.278198
-111.933651,114,0.294377
-111.821611,114,0.311233
-112.809868,115,0.327829
-111.991539,114,0.344299
